Source,Target,Prediction,Confidence
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118844,http://purl.obolibrary.org/obo/DOID_14793,False,0.9820133132791028
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26931,http://purl.obolibrary.org/obo/DOID_14177,False,0.6224583837876028
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97168,http://purl.obolibrary.org/obo/DOID_0050670,True,0.999996587894339
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7658,http://purl.obolibrary.org/obo/DOID_0080072,False,0.9999993295729128
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35468,http://purl.obolibrary.org/obo/DOID_4449,True,0.9984974587768544
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84683,http://purl.obolibrary.org/obo/DOID_14793,True,0.7772992178462351
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27392,http://purl.obolibrary.org/obo/DOID_4915,False,0.9994470010184724
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8884,http://purl.obolibrary.org/obo/DOID_5563,False,0.9994468818751124
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85505,http://purl.obolibrary.org/obo/DOID_13078,False,0.9046492657151568
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5973,http://purl.obolibrary.org/obo/DOID_13476,True,0.9975259837099296
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42700,http://purl.obolibrary.org/obo/DOID_6171,True,0.9997378641193744
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40267,http://purl.obolibrary.org/obo/DOID_6848,True,0.999796122783857
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6585,http://purl.obolibrary.org/obo/DOID_3347,True,0.7772981290768692
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40025,http://purl.obolibrary.org/obo/DOID_5744,True,0.999999448776502
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40033,http://purl.obolibrary.org/obo/DOID_6067,True,0.999997779927489
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84562,http://purl.obolibrary.org/obo/DOID_14793,True,0.985935736700428
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3101,http://purl.obolibrary.org/obo/DOID_2214,False,0.9992900850599707
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9061,http://purl.obolibrary.org/obo/DOID_11615,True,0.999997064707474
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C103186,http://purl.obolibrary.org/obo/DOID_0060043,False,0.9999993295729128
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C98933,http://purl.obolibrary.org/obo/DOID_2862,True,0.9241394300568688
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C44959,http://purl.obolibrary.org/obo/DOID_11262,True,0.9999913429648598
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3969,http://purl.obolibrary.org/obo/DOID_0110849,True,0.999998852758698
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C115327,http://purl.obolibrary.org/obo/DOID_4858,True,0.9859330775267058
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8089,http://purl.obolibrary.org/obo/DOID_5485,True,0.4999960353545137
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C123251,http://purl.obolibrary.org/obo/DOID_0060854,True,0.98901158703867
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C123251,http://purl.obolibrary.org/obo/DOID_0060855,True,0.9525729163037382
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43284,http://purl.obolibrary.org/obo/DOID_0050292,False,0.9999993295729128
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97090,http://purl.obolibrary.org/obo/DOID_9252,False,0.9626722266975462
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62570,http://purl.obolibrary.org/obo/DOID_2729,False,0.9990885944370144
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C129074,http://purl.obolibrary.org/obo/DOID_0060758,True,0.99999158136958
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35331,http://purl.obolibrary.org/obo/DOID_2237,True,0.9975263404530847
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114357,http://purl.obolibrary.org/obo/DOID_676,True,0.999989435724597
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74983,http://purl.obolibrary.org/obo/DOID_0060426,False,0.999569304338646
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6569,http://purl.obolibrary.org/obo/DOID_4772,True,0.9241346447334206
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7584,http://purl.obolibrary.org/obo/DOID_10041,True,0.9999720323248966
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C123308,http://purl.obolibrary.org/obo/DOID_11722,True,0.9770209115331048
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8366,http://purl.obolibrary.org/obo/DOID_6198,False,0.9947795528003625
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3223,http://purl.obolibrary.org/obo/DOID_3982,False,0.9999983759447104
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84761,http://purl.obolibrary.org/obo/DOID_2741,True,0.9820125102859462
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3053,http://purl.obolibrary.org/obo/DOID_0060086,False,0.679176085395316
